step,describe
입주자 모집공고,ㆍ사업주체의 홈페이지 등을 통해 입주자 모집공고
신청,ㆍ입주희망자는 사업주체가 지정한 장소(인터넷 접수 또는 방문접수)에서 신청서 작성 및 관련서류 제출
입주자 선정 및 확인,ㆍ한국감정원 청약홈 또는 사업주체의 홈페이지 등을 통해 당첨자 명단 발표 ㆍ모집호수의 일정비율을 예비입주자로 선정
임대차 계약 체결,ㆍ입주가 확정된 세대는 사업주체가 지정한 장소에서 임대차계약 체결 (예비입주자는 입주예정자의 미계약 또는 해약시 순위에 따라 계약체결 가능)
입주,"ㆍ잔금납부 후 입주 가능하며, 입주개시일로부터 최초 관리비 수납시까지의 소요 운영자금을 충당하기 위하여 입주시 입주자들로부터 관리비 예치금을 수납(퇴거시 수납액 반환) ㆍ해당 관리사무소는 입주 이후 전입신고된 주민등록표등본을 확인하여 계약자 본인의 입주 여부를 확인"
