type,description
5년·10년 공공임대주택,임대의무기간인 5년(10년)간 임대 후 분양 전환하여 입주자가 우선하여 소유권을 이전받을 수 있는 임대주택
50년 공공임대,"영구적인 임대를 목적으로 건설한 임대주택으로 임대개시일로부터 50년간 분양전환하지 않고 임대로만 거주할 수 있는 주택
※ 현재, 신규 공급은 없으며 예비입주자로만 신청 가능"
