step,describe
입주자 모집공고,"ㆍ사업주체(한국토지주택공사, 지방공사 등)의 홈페이지 등을 통해 입주자 모집공고"
신청,"ㆍ입주자저축(청약저축, 주택청약종합저축) 순위 및 자산·소득 등으로 정한 입주자 선정기준에 따라 입주대상자 선정"
입주자 선정 및 확인,"ㆍ사업주체의 홈페이지, ARS(1661-7700)을 통해 당첨자 명단 발표 ㆍ모집호수의 일정비율을 예비입주자로 선정"
임대차 계약 체결,"ㆍ입주자격 검증 결과 적합한 자에 한하여 임대차 계약체결(예비당첨자는 당첨자의 미계약, 해지 등으로 공가 발생시 순차적으로 계약 체결)"
입주,"ㆍ잔금납부 후 입주 가능하며, 입주개시일로부터 최초 관리비 수납시까지의 소요 운영자금을 충당하기 위하여 입주시 입주자들로부터 관리비 예치금을 수납(퇴거시 수납액 반환) ㆍ입주 이후 전입신고된 주민등록표등본을 확인하여 계약자 본인의 입주 여부를 확인"
