step,describe
입주자 모집공고,ㆍ사업주체(한국토지주택공사)의 홈페이지 등을 통해 입주자 모집공고
신청,ㆍ(현장접수)입주희망자는 사업주체가 지정한 장소에서 신청서 작성 및 관련 서류 제출
입주자 선정 및 확인,"ㆍ해당 지방자치단체에서 입주대상자 선정 및 발표(지자체 또는 LH 홈페이지) 
ㆍ모집호수의 일정비율을 예비입주자로 선정"
임대차 계약 체결,"ㆍ입주가 확정된 세대는 사업주체가 지정한 장소에서 임대차계약 체결 
(예비입주자는 입주예정자의 미계약 또는 해약 시 순위에 따라 계약체결 가능)"
입주,"ㆍ증축주택에 입주 전에 잔금 및 관리비예치금의 납부, 이삿짐의 도착, 입주자가 계약자 본인임을 확인 
ㆍ기존주택 임대보증금은 증축주택 임대보증금 잔금의 일부 또는 전부로 대체가능 
ㆍ입주 시 관리운영에 필요한 자금을 미리 확보하기 위하여 일정금액의 관리비예치금을 1회 수납하며, 퇴거할 때 수납액 반환"
